nomes,idade,cidade,estado,cpf,cnpj,qtd_clientes_estado,media_idade,CPF_Valido_Invalido,CNPJ_Valido_Invalido,Quantidade CPF Válidos,Quantidade de CPF Inválidos,Quantidade CNPJ Válidos,Quantidade de CNPJ Inválidos,Quantidade_Clientes
Dennis Daniels,31,ACRELÂNDIA,AC,97566536800,65891812,371,53.7831,True,True,10000,0,5061,4939,10000
Leah Becker,42,ÁGUA BRANCA,AL,42526380707,25673336235020,371,53.7831,True,False,10000,0,5061,4939,10000
Sally Ford,18,ALVARÃES,AM,34647754103,26543113,371,53.7831,True,True,10000,0,5061,4939,10000
Colleen Duncan,21,SERRA DO NAVIO,AP,25253156003,19062080510098,371,53.7831,True,False,10000,0,5061,4939,10000
Jeff Stephenson,73,ABAÍRA,BA,49668886542,97794513,371,53.7831,True,True,10000,0,5061,4939,10000
Sydney Curtis,85,ABAIARA,CE,50620290749,29476298085678,371,53.7831,True,False,10000,0,5061,4939,10000
Kelly Matthews,44,Brasília,distrito federal,39154836808,24709313,6,53.7831,True,True,10000,0,5061,4939,10000
Juan Ruiz,39,AFONSO CLÁUDIO,ES,22688119648,02420338147900,371,53.7831,True,False,10000,0,5061,4939,10000
Brian Thomas,26,ABADIA DE GOIÁS,GO,47475484084,70723413,371,53.7831,True,True,10000,0,5061,4939,10000
Sara Ayers,62,AÇAILÂNDIA,MA,94830978864,88253689548382,371,53.7831,True,False,10000,0,5061,4939,10000
Brady Cruz,83,ABADIA DOS DOURADOS,MG,3438452456,13118113,340,53.7831,True,True,10000,0,5061,4939,10000
Samantha Wright,32,ÁGUA CLARA,MS,22203654090,04310317320252,370,53.7831,True,False,10000,0,5061,4939,10000
Richard Turner,85,ACORIZAL,MT,79059712285,75595513,370,53.7831,True,True,10000,0,5061,4939,10000
Ashley Sanders,73,ABAETETUBA,PA,75206513989,06923815165128,370,53.7831,True,False,10000,0,5061,4939,10000
Thomas Jones,45,ÁGUA BRANCA,PB,34565179806,26574513,370,53.7831,True,True,10000,0,5061,4939,10000
Ian Murray,68,ABREU E LIMA,PE,15277717099,85202887368851,370,53.7831,True,False,10000,0,5061,4939,10000
Janice Jensen,79,ACAUÃ,PI,45081993646,89596113,370,53.7831,True,True,10000,0,5061,4939,10000
Jeffrey Cunningham,48,ABATIÁ,PR,66549028825,18866688344242,370,53.7831,True,False,10000,0,5061,4939,10000
Amanda Glass,49,ANGRA DOS REIS,RJ,86173803577,87380913,355,53.7831,True,True,10000,0,5061,4939,10000
Kaitlyn Johnson,65,ACARI,RN,89737004213,40893546741494,370,53.7831,True,False,10000,0,5061,4939,10000
Daniel Nelson,56,ALTA FLORESTA D'OESTE,RO,21019230681,39414113,370,53.7831,True,True,10000,0,5061,4939,10000
Jimmy Neal,47,AMAJARI,RR,85072768490,25910961614308,370,53.7831,True,False,10000,0,5061,4939,10000
Amy Ramirez,59,ACEGUÁ,RS,47660084135,27054313,370,53.7831,True,True,10000,0,5061,4939,10000
Mr. Andrew Chapman MD,55,ABDON BATISTA,SC,64597685286,26848890535610,370,53.7831,True,False,10000,0,5061,4939,10000
Ronnie Vazquez,42,AMPARO DE SÃO FRANCISCO,SE,85268818848,10194613,370,53.7831,True,True,10000,0,5061,4939,10000
Eric Leonard DDS,48,ADAMANTINA,SP,03802580133,53997444309399,364,53.7831,True,False,10000,0,5061,4939,10000
Cheryl Daniel,81,ABREULÂNDIA,TO,41518337651,16558413,370,53.7831,True,True,10000,0,5061,4939,10000
John Gutierrez,75,ACRELÂNDIA,AC,48579786444,51477910241483,371,53.7831,True,False,10000,0,5061,4939,10000
Carla White,26,ÁGUA BRANCA,AL,87007608116,54785113,371,53.7831,True,True,10000,0,5061,4939,10000
Scott Clark,86,ALVARÃES,AM,01086471296,22967376001699,371,53.7831,True,False,10000,0,5061,4939,10000
